			LE-1-9B-9-E	LE-1-9B-10-L	LE-1-9B-13-L	LE-1-9B-16-E	LE-2-7C-9-L	LE-2-7C-10-E	LE-2-7C-11-E	LE-2-7C-12-L	LE-2-7C-13-E	LE-2-7C-14-L	LE-2-7C-15-E	LE-2-7C-16-L	LE-3-5C-3-E	LE-3-5C-5-L	LE-3-5C-6-E	LE-3-5C-10-L	LE-3-5C-11-L	LE-3-5C-14-L	LE-3-5C-15-E	LE-4-10B-2-E	LE-4-10B-3-E	LE-4-10B-4-L	LE-4-10B-5-E	LE-4-10B-10-L	LE-1-9B-8-E	LE-1-9B-11-E	LE-1-9B-12-L	LE-1-9B-15-L	LE-3-5C-12-E	LE-4-2B-16-L	LE-4-10B-1-L	LE-4-10B-7-E
Order	(Super)Family/Suborder	Species	LE_1a_09_E	LE_1a_10_L	LE_1a_13_L	LE_1a_16_E	LE_2a_09_L	LE_2a_10_E	LE_2a_11_E	LE_2a_12_L	LE_2a_13_E	LE_2a_14_L	LE_2a_15_E	LE_2a_16_L	LE_3a_03_E	LE_3a_05_L	LE_3a_06_E	LE_3a_10_L	LE_3a_11_L	LE_3a_14_L	LE_3a_15_E	LE_4b_02_E	LE_4b_03_E	LE_4b_04_L	LE_4b_05_E	LE_4b_10_L	LE-1a-08-E	LE-1a-11-E	LE-1a-12-L	LE-1a-15-L	LE-3a-12-E	LE-4a-16-L	LE-4b-01-L	LE-4b-07-E
Notes				Heavily hyphenized			Many hyphens			Hyphens						Hyphens		Hyphens	Hyphens	Hyphens			partly hypheniyed					Many hyphens	Hyphens		Hyphens			
				 																														
Collembola				2												1									1									1
Collembola	Symphypleona				1																													
																																		
Hemiptera	Auchenorrhyncha			1			1		1			1											1 exoskeleton				1		2					2
Hemiptera	Heteroptera	Pentatomidae larvae														1																		
Hemiptera	Heteroptera	Pentatomidae																														1		
Hemiptera	Heteroptera	Lygaeidae														1															1			
Hemiptera	Heteroptera	Miridae																										1						
Hemiptera	Aphidoidea				1	2	1									1											1	2		1				
Hemiptera	Sternorrhyncha																											1	1	1				
																																		
Blattodea	Ectobiidae																	1																
Orthoptera																																		
																																		
Diptera			6	8	5	1	1	4	4	3		3	4	1	5	6	1	5	10			5	9	14	10	2	8	4	7	11	3	13	17	7
Diptera	Syrphidae			1																		1											2	
Diptera	Calliphoridae/Sarcophagidae				2																			3			1						2	
Diptera	Drosophila		1																							3								
Diptera	Platypezidae							1															1	3			1					2	4	
																																		
Hymenoptera				4	3			1	1	4	1	1	1		1		1	4	2				1				1	1	3	2				
Hymenoptera	Formicidae			1		1									1							2	7	14	16	2						1	5	5
Hymenoptera	Vespidae																																	
Hymenoptera	Apidae																																	
																																		
Neuroptera	MyrmeoleontidaeChrysopidae	Larvae																															1	
																																		
Coleoptera												2			2	1		1	1							2		1	2					
Coleoptera	Curculionidae											1							1						2					1				
Coleoptera	Chrysomelidae															2							1											1
Coleoptera	Staphylinidae											1											1	4	1			2	1			1		
Coleoptera	Carabidae																							2						1				
Coleoptera	Carabidae	Larvae																																1
Coleoptera	Silphidae	Oiceoptoma thoracicum																						1										
Coleoptera	Silphidae	Nicrophorus vespilloides 																																
Coleoptera	Silphidae	Phosphuga atrata 																						1										
Coleoptera	Silphidae	Thanatophilus sinuatus 																					1	1										
Coleoptera	Histeridae																																3	
Coleoptera	Cerambycidae																							1										
Coleoptera	Coccinellidae												1																					
																																		
Lepidoptera																								1										
Lepidoptera	Larvae						1								1																			
																																		
Thysanoptera																		1				1												
																																		
Araneae				1	2											1													1					
Araneae	Lycosidae											1																						
Araneae	Lycosidae	juveniles										35																						
Araneae	Pisauridae	Dolomedes																																
Araneae	Thomisidae																																	
Araneae	Sparassidae	Micrommata virescens															1																	
																																		
Opiliones																														1				
																																		
																																		
Insecta indet.																																		
Insecta larvae indet.																							1 in webbed bag										1	
Acari					2						1													9										
																																		
																																		
Mollusca																														1				
																																		
Crustacea	Isopoda			1																														
