FullID	Site	Sector	SectorPlant	Replicate	Succession	FullIDOld	MossWithTube_g	Tube_g	Sticker_g	Moss_g	SampleDate
LM_2N_01_M	LM	2	2N	01	M	LM-2-1	14.0479	13.1321	0.0677	0.848100000000001	21.08.2018
LM_1N_02_M	LM	1	1N	02	M	LM-1-2	14.2206			1.0208	21.08.2018
LM_4N_01_M	LM	4	4N	01	M	LM-4-1	14.2566			1.0568	21.08.2018
LM_1N_01_M	LM	1	1N	01	M	LM-1-1	14.2781			1.0783	21.08.2018
LM_3N_01_M	LM	3	3N	01	M	LM-3-1	14.1067			0.906900000000001	21.08.2018
LM_2N_02_M	LM	2	2N	02	M	LM-2-2	14.0311			0.831300000000001	21.08.2018
LM_3N_02_M	LM	3	3N	02	M	LM-3-2	14.1997			0.999900000000001	21.08.2018
LM_4N_02_M	LM	4	4N	02	M	LM-4-2	14.2144			1.0146	21.08.2018
CB_2N_01_M	CB	2	2N	01	M	CB-2-1	13.7644			0.564600000000001	20.08.2018
CB_3N_01_M	CB	3	3N	01	M	CB-3-1	13.7713			0.571500000000001	20.08.2018
CB_2N_02_M	CB	2	2N	02	M	CB-2-2	13.9305			0.730700000000001	20.08.2018
CB_4N_02_M	CB	4	4N	02	M	CB-4-2	13.8587			0.658900000000001	20.08.2018
CB_3N_02_M	CB	3	3N	02	M	CB-3-2	14.022			0.822200000000001	20.08.2018
CB_4N_01_M	CB	4	4N	01	M	CB-4-1	13.7614			0.561600000000001	20.08.2018
CB_1N_02_M	CB	1	1N	02	M	CB-1-2	14.0119			0.812100000000001	20.08.2018
CB_1N_01_M	CB	1	1N	01	M	CB-1-1	14.0736			0.873800000000001	20.08.2018
LE_4N_01_M	LE	4	4N	01	M	LE-4-1	14.2778			1.078	24.08.2018
LE_1N_01_M	LE	1	1N	01	M	LE-1-1	13.773			0.5732	24.08.2018
LE_3N_02_M	LE	3	3N	02	M	LE-3-2	14.1013			0.901500000000001	24.08.2018
LE_2N_01_M	LE	2	2N	01	M	LE-2-1	14.1562			0.956400000000001	24.08.2018
LE_4N_02_M	LE	4	4N	02	M	LE-4-2	14.4353			1.2355	24.08.2018
LE_1N_02_M	LE	1	1N	02	M	LE-1-2	13.9188			0.719000000000001	24.08.2018
LE_2N_02_M	LE	2	2N	02	M	LE-2-2	13.9667			0.7669	24.08.2018
LE_3N_01_M	LE	3	3N	01	M	LE-3-1	13.8685			0.668700000000001	24.08.2018
LV_3N_01_M	LV	3	3N	01	M	LV-3-1	14.0754			0.875600000000001	23.08.2018
LV_2N_02_M	LV	2	2N	02	M	LV-2-2	14.0164			0.816600000000001	23.08.2018
LV_1N_01_M	LV	1	1N	01	M	LV-1-1	14.4138			1.214	23.08.2018
LV_1N_02_M	LV	1	1N	02	M	LV-1-2	14.1853			0.9855	23.08.2018
LV_4N_02_M	LV	4	4N	02	M	LV-4-2	14.4379			1.2381	23.08.2018
LV_3N_02_M	LV	3	3N	02	M	LV-3-2	14.0564	no sticker label		0.924300000000001	23.08.2018
LV_4N_01_M	LV	4	4N	01	M	LV-4-1	14.0936			0.893800000000001	23.08.2018
LV_2N_01_M	LV	2	2N	01	M	LV-2-1	14.1494			0.949600000000001	23.08.2018
LT_1N_02_M	LT	1	1N	02	M	LT-1-2	13.9675			0.7677	22.08.2018
LT_2N_02_M	LT	2	2N	02	M	LT-2-2	13.8937			0.693900000000001	22.08.2018
LT_4N_01_M	LT	4	4N	01	M	LT-4-1	14.1685			0.968700000000001	22.08.2018
LT_1N_01_M	LT	1	1N	01	M	LT-1-1	14.0541			0.854300000000001	22.08.2018
LT_3N_01_M	LT	3	3N	01	M	LT-3-1	14.0549			0.855100000000001	22.08.2018
LT_3N_02_M	LT	3	3N	02	M	LT-3-2	14.1544			0.954600000000001	22.08.2018
LT_2N_01_M	LT	2	2N	01	M	LT-2-1	13.9822			0.782400000000001	22.08.2018
LT_4N_02_M	LT	4	4N	02	M	LT-4-2	14.2694			1.0696	22.08.2018
